skill_id,doc_node_value,skill_type
KSUMUUUWH2LGA7IKVOX7,user feedback,Hard Skill
KS1220H6CP1BQGH9STNK,cloud computing,Hard Skill
KS127YF631YF6JYZNX9P,point of sale,Hard Skill
KS124JC6CHGJ6YGD3JJ7,growth strategy,Hard Skill
KS6H0DOS8JQ59EWDRDVU,evaluation strategy,Hard Skill
KS120FG6YP8PQYYNQY9B,amazon web service,Hard Skill
KSAS8LK1JG2Y0OLN4C53,apache spark,Hard Skill
KS120MG6W03JCFGKFHHC,architectural design,Hard Skill
KS1227D60Q7225FTK55V,information system,Hard Skill
KS440DL5W43C438S8KTK,secure environment,Hard Skill
KS127FN627W262Q720L4,organic growth,Hard Skill
KS122LN6CLX3P61KWSP2,customer satisfaction,Hard Skill
KS127PD6XH0GQ380FJ3N,performance metric,Hard Skill
KSKGA33H2M575GIDRIP1,source monitor,Hard Skill
ES1778C57D48A4CCD2F7,robotic process automation,Hard Skill
KS1222C6WKYWRKRXQCR0,version control,Hard Skill
KS122C775KRX1DK8Q1RQ,continuous integration,Hard Skill
KS7G8G66BTD4V8K3NCVF,test drive development,Hard Skill
KS1254R63857V35DDXPN,system analysis,Hard Skill
KS44175745H9Q0DPBDNT,time management,Soft Skill
KS4NKXC90M22JM53MO6D,EMR,Hard Skill
KS121JM6QL5CGM2LSDS9,customer experience,Hard Skill
KS122PG79GBGKLPG9WNK,data manipulation,Hard Skill
KS125VJ78FYZQXGRT9XY,linear model,Hard Skill
KS1259D6L30YYG3XR3VL,interpersonal communication,Soft Skill
KS440Y868SJN67TTMF18,statistical software,Hard Skill
KSKG9OA3NDST6929VROF,quality control,Hard Skill
ES70CD6E89F6DAD8F319,relationship management,Soft Skill
KS121Z26S4VJLQ1WXN21,customer service,Soft Skill
ESBF952629C36426E564,willingness to learn,Soft Skill
KS12320732STS9N7XT64,distribute computing,Hard Skill
KS120HJ6BW4HMRJ213F1,ANOVA,Hard Skill
KS1218C6MP9RN7WXMM37,business analytic,Hard Skill
ES962277805FF207EC3F,amazon quicksight,Hard Skill
ES43DB1E2DEC412F3A26,cloud service,Hard Skill
KS7G3YQ62YJG4LX9QFZT,google cloud,Hard Skill
KS12403769SV21756FDY,employee benefit,Hard Skill
ES806437526718AC34AB,secret clearance,Certification
KS122PL70D99VRWMFM2T,data mining,Hard Skill
KS124HM771ZF70WBNNNW,green building,Hard Skill
ESAEEF5760144B8210FD,project implementation,Hard Skill
KS124BZ70Q9RVWZ56HLZ,greenhouse gas,Hard Skill
ES2933FAEF72CE4E2840,machine learning method,Hard Skill
ES2133DA6434CF028833,aws sagemaker,Hard Skill
ESD5C3FF77F38D04C794,gradient boost,Hard Skill
KS1267F6MSPN366LX7ST,project management,Hard Skill
KS821U8XQRM3KNTJ84N7,product strategy,Hard Skill
KS123YB6R39YVSFY1SKX,fix,Hard Skill
KS128275ZSJDZ37SNG87,process optimization,Hard Skill
KS120L16S3RLJ82VQ08H,application development,Hard Skill
KS4400Y6PJTH89T22DYR,research design,Hard Skill
KSNWW2JEAUWP22KEHPGB,build process,Hard Skill
KS122PL6RMYT57L8M73B,data transformation,Hard Skill
KS122PT6RKPQ5KLM3XYH,data quality,Hard Skill
KS120376KM9F1NBQ7F7K,test suite,Hard Skill
KS122PG64BT2BT6X15HF,data management,Hard Skill
KS121YL65WGC33FY3HZQ,decision tree learn,Hard Skill
KS120NN6SBW45D10MY36,artificial neural network,Hard Skill
KS440B9652S5BZRBVHDS,scenario analysis,Hard Skill
KS120LB6XV5409BCQ0NF,technical support,Hard Skill
KS122GV66N1RCXQPPYS5,CPT,Hard Skill
KS1218V6D1NWTXTCWP33,business intelligence tool,Hard Skill
KS4401V5WX78L6JX0NW7,restful api,Hard Skill
KS123K75YYK8VGH90NCS,english language,Soft Skill
KS128GV6Y1LLQBBCNMFH,regular expression,Hard Skill
KS125Z169HQJ1KQT60RW,logistic regression,Hard Skill
KSZKSUGF2Y5ZLMK0R2MF,naive bayes,Hard Skill
KS440GH5YRZFQDHSFKVC,sentiment analysis,Hard Skill
KS84HIMR36V633XYJN41,sci,Certification
KSON1G92ZK13FWTOZ1OT,RNN,Hard Skill
KS7G24169Z487XMD80CY,lifecycle management,Hard Skill
KS122NR6NY1KB0TD40G4,data collection,Hard Skill
KS3OOTPOI6UCHLWS1PUW,application datum,Hard Skill
ES4B99FD0FD70AC92985,infrastructure architecture,Hard Skill
KS123YF6T21PFVZ16Y46,financial market,Hard Skill
ESE4C6DAB864E4F13841,medical device,Hard Skill
KSWR4RCZQM7RAQNUFC40,data pipeline,Hard Skill
KS440NB6WQTFFTRTGPZZ,smart grid,Hard Skill
KS1215M77JN57WSTPF3L,business process management,Hard Skill
KS683TD6K9QRLNY1PHN1,process management,Hard Skill
KS0XGXJLZ6VW4XDGP9G0,query performance,Hard Skill
KS127PG6M8XYRM4K36G4,performance tuning,Hard Skill
KS122QK6TH01FWQ9X8CH,relational database,Hard Skill
KS13USA80NE38XJHA2TL,power bi,Hard Skill
ESF0C01F4A5BE2D33EAF,quality improvement,Hard Skill
KS1200365FTR9X0M96T9,microsoft word,Soft Skill
KS1219863VWXPRZL5LG2,business requirement,Hard Skill
KS122QR67M3DQDNP937T,database query,Hard Skill
KSKILLO50UIM0419A5FA,BPM,Hard Skill
KS4425S60HLS47WM5KTP,OSI,Hard Skill
KS441Z76FKFC2KYJH0BL,water resource,Hard Skill
KS4418M78BCL9MTRBW0W,technical service,Hard Skill
KS124B85W68R34992SWC,geospatial analysis,Hard Skill
KS4401D6PYRMFQC4HR62,resource management,Hard Skill
KS121966TYHFTSKSFV8R,business process improvement,Hard Skill
KS681KH79MJLQDPB9T88,process improvement,Hard Skill
KS61D1BF7H22K0UZ9C3V,team orient,Soft Skill
KS120M86QF6X6S7QP3GG,GIS,Hard Skill
KS122N25ZVF0RTZ1YZZ4,d3 js,Hard Skill
KS124VF5YCVWCW6NR1Z6,human capital,Hard Skill
KS1218D6Q96XWYJL7BSX,business case,Hard Skill
KS440ZZ6HM0NG5586DTZ,strategic communication,Hard Skill
ES8992B9BE8C934534D2,ml net,Hard Skill
KS1219N6Z3XQ19V0HSKR,c #,Hard Skill
KS120026VL50QFWT2281,asp net,Hard Skill
ES4C039C261C048676A2,solution design,Hard Skill
KS1264X6Q6902BJMLNCB,marketing communication,Hard Skill
KS440HN5ZKL5D8LDZY1B,service review,Hard Skill
KS126SS5YDNKPGB51LY1,regression analysis,Hard Skill
KS122QN79JX7121NWYZ8,database marketing,Hard Skill
KS8V94BPPMIAWFLCKAHX,collaborative filtering,Hard Skill
KS1280Y78Z7S6RND0SL6,principal component analysis,Hard Skill
KS7G3Q85VJYHBXLLCFPW,component analysis,Hard Skill
KS120D976LFGP57NKY7P,algorithm design,Hard Skill
KS124GX72D77Z1VDJ28D,graph algorithm,Hard Skill
KS1253Q66NQSNHM7JR49,industrial engineering,Hard Skill
KS120LK70665WL8LBX8G,system engineering,Hard Skill
KS440DX6PX0FYMQB05L4,classify information,Hard Skill
KS1258Q68HT2CQNBZ89B,international law,Hard Skill
KS126NC6N2SCV9JX8XX0,model building,Hard Skill
KSL1V9X0EPSW3X1LNKM9,sql manager,Hard Skill
KS1278R6PH24T8S2PQW6,object orient design,Hard Skill
KS126JR6F5V2TRCLB1H5,microsoft sql server,Hard Skill
ES51980193663083AED5,customer success,Hard Skill
KS1203T6J7F2P3TG6Y6K,account management,Hard Skill
KS122105W5GD519MZVDQ,cluster analysis,Hard Skill
KS1258C6J7BK2F84V8FC,internal communication,Hard Skill
KS127LW6D7WX0VCCSPVW,pattern recognition,Hard Skill
KS125VJ636ZVWXWBJH1C,linear regression,Hard Skill
KS122CX67XD09M06D9PS,control experiment,Hard Skill
KS441BW6SPKJGQ31RGW7,text mining,Hard Skill
ESBD220631E2E8AE79C5,personal security,Hard Skill
ES927EF31A5D2B127B50,diversity and inclusion,Hard Skill
ES2CC185FC27BC0DF8FE,talent acquisition,Hard Skill
ES53E6EA8285F66F0CE7,azure machine learn,Hard Skill
KS120V86MZWV9Z9LKQY3,microsoft azure,Hard Skill
ESF5943639E2E815A6F4,azure cognitive service,Hard Skill
KS122Z36QK3N5097B5JH,web development,Hard Skill
KS1233N741Q4095RFZS8,document processing,Hard Skill
ESE00213B4D58BD54EC1,infrastructure as code,Hard Skill
KS124X55Z4BZ4JXB22XM,ARM,Hard Skill
KSMWULH8BYVFDYMC4X32,fossil fuel,Hard Skill
KS122VC6YW4GX4M0LBGT,descriptive statistic,Hard Skill
KS1256K6CCY9PZXF890Q,insurance product,Hard Skill
KS125S474FT7PMRYWKJF,learn development,Hard Skill
KS122P063X6NGMHLP002,data extraction,Hard Skill
KS3I5OCZSW9CZJJL12MA,build pipeline,Hard Skill
KS127296VDYS7ZFWVC46,node js,Hard Skill
KS121DS6GB09TFN7RLX0,career development,Hard Skill
KS4427C77PRBT3948VNB,XML,Hard Skill
KS120M36164Y2LMZ1NKC,OCR,Hard Skill
KSJWNUM9AAIED97URRFO,family tree,Hard Skill
KS122BL6107G2Z27JWJW,content creation,Hard Skill
KS441QM68WKQ9Z1VS0RY,value creation,Hard Skill
KS125036BMK3N0RRD1RT,idea generation,Hard Skill
KS124LD64KVL3YQN53KN,handwriting recognition,Hard Skill
KS1254M61BGY7J0JY7RW,information science,Hard Skill
KS124596WWBB538KGM0G,functional requirement,Hard Skill
KS127CS79GV081FMJYKZ,operation management,Hard Skill
KS440Y970LC9DG9T80F0,statistical thinking,Hard Skill
ES3658B65BF812FB2D56,ARIMA,Hard Skill
KS440HH6BK8MCC936RF4,service management,Hard Skill
ES39E5C01E1593CE9E72,operational efficiency,Hard Skill
KS125WZ6TWYDMFKJ841S,listening skill,Soft Skill
ES705D6A8AB8CBD5A530,apply statistic,Hard Skill
KS440PX70147DD63BTWM,social science,Hard Skill
KS120SX72T8B5VLXS1VN,unit testing,Hard Skill
KSRD9DCNI51GHKNFATRT,functional programming,Hard Skill
ESDA3100E54C874B7AAD,agile project,Hard Skill
ES5084E497CF6A499186,agile project management,Hard Skill
KS122VW78Q67XR4C3ZDW,operating system,Hard Skill
KS1280N6G0RXMWQ29JCS,pricing strategy,Hard Skill
KS9NAFGCLMEHG7LYPXTV,self starter,Soft Skill
KS1212B6QR5SK1LSD4S4,business development,Hard Skill
KS123LK6T9YY8VH23971,protein engineering,Hard Skill
KS120G36N2ZJ0FDVBCMJ,amino acid,Hard Skill
KS122MX6Z22WRCVFXRDP,flow cytometry,Hard Skill
KS120SR6X8P2VV5NSCXH,dna sequence,Hard Skill
KS1210R6L3FYYVTNNS8S,molecular biology,Hard Skill
KS1205V67QP3VYT0HKW7,actuarial science,Hard Skill
KS1206865S68KXZ3RG0C,ASA,Hard Skill
KS120LP6CBTTJSY8HRC8,app store,Hard Skill
KSROLGTF95N2327P070N,google play,Hard Skill
KS7G20264NW3ZVV10T1S,revenue growth,Hard Skill
ESFF7A96F257471A7A8E,category growth,Hard Skill
KS128F265K7M7BWXDL2G,real estate finance,Hard Skill
KS1265F71V3PY4KH0JW5,market trend,Hard Skill
KS128F36CTVSLBRQ6JK0,real estate investment,Hard Skill
KSGDZ4VMK1WCGQCE1KUT,vue js,Hard Skill
KS4418R65WL18XPBR3T2,technology assessment,Hard Skill
KS120GT79SSWNBB5T99H,analytical technique,Hard Skill
KS1284X6XZ1XWGB9MYL3,proprietary trading,Hard Skill
KS120D86SP2JCLXPQ3ZX,algorithmic trading,Hard Skill
KS441GN6Q2947WVKP9T3,trading strategy,Hard Skill
KS440ZC6F6XZRZ8Y7KLF,stock market,Hard Skill
KSK4DR360GY525L76R7K,low latency,Hard Skill
KS441WT6F5WN2RGFQWKY,video on demand,Hard Skill
KS122ZH71HN3JMGYNBS7,dimensionality reduction,Hard Skill
KS128FT5XK7FS63H8GL2,recommender system,Hard Skill
KS126SZ69P213BWD801D,multivariate analysis,Hard Skill
KS126YX6GF56X12MPN43,network architecture,Hard Skill
KS1245C6NQ5MJN37VHZF,cash flow,Hard Skill
KS331KRNOV3U0ZV87FEE,cost of capital,Hard Skill
ESDF44DC766ED1E22E32,risk mitigation,Hard Skill
KS123YJ6XSQJ1YRVG53M,financial risk,Hard Skill
KS1265N6Q8R9WTY8PB27,marketing operation,Hard Skill
KS124V771QLF5KJQWJBF,web server,Hard Skill
KS1249566FV5RQSV6XKD,genetic algorithm,Hard Skill
KS120Z46XGZW0XWJN3LY,behavioral science,Hard Skill
KS1289J6GL6C3ZS1437F,quantitative research,Hard Skill
KS6840J6LR0TLQ86LZJC,front end,Hard Skill
KS1217J65JY9FWFKQR0C,financial forecasting,Hard Skill
ESA07D21A5578570F177,CRM,Hard Skill
KS127W96P4XCBSGT33VJ,predictive maintenance,Hard Skill
KS124GX79GX5DT17X6R1,graph database,Hard Skill
KS122Z078YN6BLBGC3RX,digital signal,Hard Skill
KS122YY5WBP7GQPNRFG3,digital signal processing,Hard Skill
KS440KZ6ZGVFN5F5VNY3,signal processing,Hard Skill
KS1227561W39N14BY3LB,computational linguistic,Hard Skill
KS123K66K3X90XN5QWGG,engineering statistic,Hard Skill
KS1200H6XYN1CR0G5NZ0,microsoft excel,Soft Skill
ES290A7F4FA9A8F7BEAF,consumer lending,Hard Skill
KS122Q26BWQ1PK3Y74C0,data structure,Hard Skill
KS1240G6LSXDJCWXNBX0,flood insurance,Hard Skill
KS121CY5X6BPXPPMH95R,capital market,Hard Skill
ESA1DB84792711EC067E,climate modeling,Hard Skill
KS128BK6JSSHNT5QDPMX,research and development,Hard Skill
KS127FR62YX5QGCHDKZW,organizational effectiveness,Hard Skill
KS4402B69W05DMZGMV9R,return on investment,Hard Skill
KS441076RVCYNSQP485M,workforce plan,Hard Skill
KS126BT6PCWY2L72X1GS,medical terminology,Hard Skill
KS124ZM6BB7FXKH1WH60,ICD,Hard Skill
KS440D469RD1QH0T108G,search advertising,Hard Skill
KS122NQ78JV15M7TG886,data validation,Hard Skill
ESBD8E0AF64EAB01791B,aws glue,Hard Skill
KS121F760MT5QS38TK2S,medical record,Hard Skill
KS120LK6NV7DJ4TYY3DV,apply science,Hard Skill
KS1284N6ZGVR60Z44TGW,project stakeholder,Hard Skill
KSIRH2MDNR85TXTQF10X,solution delivery,Hard Skill
ES1AE014948D7C1AD5AD,data lake,Hard Skill
KS1277R6F29G8D5HXTLZ,on the job training,Hard Skill
KS1238H659P08Z726BK8,e commerce,Hard Skill
KSEO6A04QBOG4I9E79SG,cloud technology,Hard Skill
KS122YN6108R0RSDXXRC,digital marketing,Hard Skill
KS1265J78BY2W8MT9CPX,marketing analytic,Hard Skill
KS124MQ5Z09Y34HZ388D,health assessment,Hard Skill
KS124N867755V2QPKNXX,heart sound,Hard Skill
KS441K964RMWB7RVJ1SP,trust company,Hard Skill
KS123Y170CZM0V5Z3XXB,financial service,Hard Skill
KS440HG69X94JJ0SV77G,service industry,Hard Skill
KS122NR5WBK04FGMP0HD,datum cleansing,Hard Skill
KS441R26FF6RF17KLYD7,feature selection,Hard Skill
KS12490646TV95FV38YV,generalized linear model,Hard Skill
KS124MS621WFKKQVTNSS,health system,Hard Skill
KS1263Y78QX1MGZFJ561,manage care,Hard Skill
KS122Z8647637KP0N1CC,digital technology,Hard Skill
ES84406857CBEEFACE95,business operation,Soft Skill
KS1229Z6PBVZJDZG48C6,consultative approach,Hard Skill
KS441SR69YHFKR7SYP00,video capture,Hard Skill
ES2DC2C514D5A45F3CC2,project selection,Hard Skill
KS1200578T5QCYT0Z98G,html,Hard Skill
KS123VS66RZFWTNXD81P,feature film,Hard Skill
KS127CR6S5TQJVYMG3HB,operational excellence,Hard Skill
KS1283V6XDFZSK6YP0HF,program management,Soft Skill
KS1228S6YKWXMH4M4DL7,conflict resolution,Hard Skill
KS120XY6QBQZFM5NYFL9,battery pack,Hard Skill
KS1206475R10SDR7J6K8,adaptive control,Hard Skill
KS5W35NSPAIH2CYDJZQA,electric vehicle,Hard Skill
KS120TB5XW4YS78D2ZM5,automotive industry,Hard Skill
ESA6B14099E4EB794292,fleet management,Hard Skill
KS125TZ6X0ZJPZNT1DLX,life support,Hard Skill
KS440R072CLZFQ3FWGG1,software system,Hard Skill
KS120PL63HT8CXQ6LPDR,asset management,Hard Skill
KS4418462TTGKL3CWJHT,team leadership,Soft Skill
ESEBBEB9F18DCF043F97,collaboration tool,Hard Skill
KS1286T73SZHGSXG52HC,public cloud,Hard Skill
KS441TQ74FJX8PPY8TFH,virtual machine,Hard Skill
ESB13BB516A3E8D58B7A,knowledge graph,Hard Skill
KS121905YTBHHX4N89W2,business process model,Hard Skill
KS1215M6G6T0D41FR8KJ,business process model and notation,Hard Skill
KS128266WGXGXQX9Y051,process model,Hard Skill
KS122SL6LDMNRTYWLY95,decision model,Hard Skill
KS128DR69XQZ9TWBL7RQ,resource description framework,Hard Skill
KS1235Z78NZ16ZBN53PS,substance abuse,Hard Skill
KS123KW6BLTZTBTQZ4TR,environmental protection,Hard Skill
KS4418H63Z3RP725L3BW,technical documentation,Hard Skill
KS1231R6L1Z432N2M46F,distribute computing environment,Hard Skill
KS440HB7807HC77KVQN6,service design,Hard Skill
KS441VK5YZ7X06TW3Y6F,visual communication,Hard Skill
KS120Y66FWYF6MQBR6FK,bayesian network,Hard Skill
KS440Y75ZWQSRZ5R9DGC,statistical package,Hard Skill
KS125S6630PDP730RG6W,learn theory,Hard Skill
KS1231T6GYWKY8L06BNB,distribute database,Hard Skill
KS1281T6RBGL1L6Y8KSD,procedure code,Hard Skill
KS120DR6TDMC1651F9HQ,computer keyboard,Soft Skill
KS441VJ5YF8Z32D38QHL,visual acuity,Hard Skill
KSPRNJFHBUMP2W7T0QTA,follow direction,Soft Skill
KS124N56JNZM3MCSTFQ9,healthcare service,Hard Skill
ESE84F43ACE4F0C71B6A,merchandise planning,Hard Skill
KS123Y670VJPRXPDBXPT,financial asset,Hard Skill
KS1282M76ZSYM2QR0MNS,product marketing,Hard Skill
KS121FX68DQKBVQD8VR5,causal inference,Hard Skill
KS440QQ6NNV7S10DQST6,software design,Hard Skill
KS120GV5XHDNC5JFL8B5,analytical procedure,Hard Skill
KS1203B6CK2THKV1NY0J,academic achievement,Hard Skill
ESB812BB8B0FCA695F64,organizational leadership,Hard Skill
KS4420D71YWJJ5Y4Q45N,web page,Hard Skill
KS122QH61M1MNJ0BP4XZ,database administration,Hard Skill
KS123HX69V95SC2NJZYZ,performance appraisal,Hard Skill
KS123MX68QYDQ01TXHT9,error message,Hard Skill
KS120ZH69WYL1431RP7P,social security,Hard Skill
KS440GJ6ML4G40B67460,SEO,Hard Skill
KS127H26FLNG0H3SFG4L,outcome research,Hard Skill
KS124N46RMFSBQFLTM0L,patient safety,Hard Skill
KS122LN62P1F4BSYRJBG,customer analytic,Hard Skill
KS122VN6S99QJ1BWL6MC,design tool,Hard Skill
KS123J47437LZTH6N7ZX,electronic medical record,Hard Skill
KS7G78M6J0NZ3XXD2Q31,health service research,Hard Skill
KS1227F77DBB76ZSKH75,information technology consulting,Hard Skill
ES66049F46FF675A54BD,HEOR,Hard Skill
KS1264K6T7LNRXHBN8JQ,ERP,Hard Skill
KS122QL6NN356RRJT6RV,database design,Hard Skill
KS440R173JWHXP0NBN2F,verification and validation,Hard Skill
ES4F068D298A272060A0,product leadership,Hard Skill
KS4418371TN1X41T1P3G,team build,Soft Skill
KS79O5AFPWQ4IEY9HCH5,challenge drive,Soft Skill
ES4E81D4E042F468C897,strategic decision make,Hard Skill
KS122ZQ6X99D6GDFH046,direct marketing,Hard Skill
KS1265C5W3PDC2SLJ2KP,market profile,Hard Skill
KSLSUE4INYCD4TYX2RPR,bit ly,Hard Skill
KS1247H7701DW05BS80N,google doc,Hard Skill
